net,length_um
net740,2.392985mm
net753,2.34519mm
net746,2.33786mm
net754,2.28447mm
net713,2.26633mm
_17755_,2.244975mm
net760,2.24373mm
net1066,2.21036mm
net696,2.15154mm
net745,2.100485mm
net757,2.087385mm
net712,1.92027mm
net1070,1.9198mm
net707,1.915985mm
net1080,1.896605mm
net1061,1.893115mm
net742,1.861905mm
net769,1.785265mm
net738,1.756125mm
net744,1.72888mm
net747,1.728445mm
net1058,1.69057mm
net751,1.65458mm
net1065,1.646575mm
net758,1.62872mm
net741,1.612265mm
net748,1.6062mm
net768,1.59536mm
net737,1.589315mm
net767,1.529625mm
net1067,1.50672mm
net759,1.495015mm
net752,1.4826mm
net1068,1.480235mm
net1064,1.4679mm
net1069,1.45603mm
net762,1.428125mm
net1464,1.42492mm
net1084,1.41862mm
net739,1.417645mm
net761,1.404745mm
net743,1.38425mm
net1062,1.37486mm
net695,1.36542mm
net1462,1.36222mm
net931,1.32898mm
net703,1.32058mm
net1465,1.30523mm
net749,1.28799mm
net1077,1.28745mm
net711,1.283475mm
net788,1.265225mm
net1463,1.257635mm
_16880_,1.25512mm
net1060,1.25366mm
net1268,1.25296mm
net708,1.23819mm
net784,1.23314mm
net884,1.22487mm
net914,1.210825mm
net934,1.199615mm
net654,1.1924mm
net783,1.18651mm
net764,1.18307mm
net786,1.17171mm
net929,1.16189mm
net756,1.15483mm
net936,1.154465mm
net755,1.150465mm
net937,1.14336mm
net933,1.139225mm
_17668_,1.13715mm
net842,1.136315mm
net940,1.135715mm
net862,1.13506mm
net787,1.12287mm
net1081,1.11836mm
net843,1.111895mm
net766,1.097965mm
net705,1.09405mm
net628,1.08631mm
net965,1.08352mm
net915,1.08006mm
net863,1.0781mm
net1059,1.07418mm
net939,1.0617mm
net809,1.057745mm
net930,1.05272mm
net864,1.05093mm
net1074,1.0487mm
net653,1.041705mm
net1075,1.0411mm
net763,1.0391mm
net938,1.037165mm
net625,1.033425mm
_01822_,1.03248mm
net918,1.03118mm
net765,1.02999mm
net627,1.01327mm
_18546_,1.01228mm
net916,1.005945mm
clknet_2_0_0_clk,1.00107mm
net917,990.185µm
net1073,987.7µm
net626,986.24µm
net1082,979.96µm
net1466,977.485µm
clknet_2_2_0_clk,975.88µm
net750,973.56µm
net1078,971.19µm
clknet_2_3_0_clk,967.375µm
net814,962.51µm
net913,961.315µm
net710,959.455µm
net706,956.495µm
net951,949.005µm
net926,946µm
_16883_,943.96µm
net861,939.36µm
net607,939.195µm
_15839_,938.07µm
clknet_2_1_0_clk,936.07µm
net1063,921.14µm
net1076,917.8µm
net1079,912.865µm
net790,912.62µm
net919,902.18µm
net1461,889.55µm
net844,887.835µm
net622,881.41µm
_19021_,876.58µm
net920,874.095µm
_15846_,873.76µm
net969,861.52µm
net963,859.655µm
_17851_,855.485µm
_15843_,855.39µm
_15844_,854.395µm
net1248,844.185µm
net921,843.18µm
_16361_,840.59µm
_17759_,839.78µm
net950,839.02µm
_16364_,835.58µm
_16878_,825.735µm
net968,823.045µm
net1424,821.49µm
_17770_,813.785µm
net701,813.66µm
net964,808.73µm
_15847_,804.73µm
net1226,804.68µm
net812,803.18µm
_16367_,799.46µm
net949,798.46µm
net970,796.19µm
_16363_,794.37µm
net659,790.72µm
net954,789.54µm
net966,787.53µm
net948,787.24µm
net658,785.69µm
net855,785.4µm
_15835_,783.555µm
_16369_,780.865µm
_17980_,778.92µm
_08485_,774.35µm
net925,773.83µm
net1467,754.28µm
net789,751.63µm
_17852_,751.44µm
_19537_,750.72µm
_17855_,748.39µm
net805,746.95µm
net927,745.18µm
net972,734.75µm
_16881_,734.19µm
net922,732.25µm
net875,730.12µm
net1419,726.665µm
_16886_,724.68µm
_18547_,722.805µm
net1402,719.135µm
pipe_act_func\[1\],716.87µm
clk,711.73µm
_16866_,711.21µm
net806,704.985µm
net1418,704.46µm
net941,703.725µm
net932,695.565µm
net1083,695.26µm
net810,695.255µm
net947,694.95µm
_17391_,692.085µm
net1420,685.64µm
_17988_,682.31µm
net942,680.21µm
_15832_,678.59µm
net878,676.99µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[4\]\[3\],672.87µm
_16876_,671.33µm
net1054,669.835µm
net945,668.365µm
net962,668.025µm
net1371,667.54µm
net1406,665.67µm
net943,664.72µm
net971,664.025µm
net847,662.055µm
net923,661.07µm
_17841_,657.17µm
_08484_,654.63µm
net577,654.26µm
net1055,651.305µm
net592,651.25µm
net976,650.05µm
_15840_,647.76µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[4\]\[4\],646.98µm
net567,646.815µm
net1021,642.33µm
net1400,640.55µm
net975,640.235µm
net1417,640.02µm
net597,639.78µm
net860,639.745µm
pipe_alu_output_mux,637.49µm
alu_out\[3\]\[0\],636.885µm
net872,634.87µm
net877,630.93µm
_17406_,627.895µm
net946,627.83µm
net973,625.505µm
net1020,625.495µm
net581,625.335µm
net891,621.395µm
_08565_,618.76µm
net813,615.705µm
net908,615.6µm
net1056,614.51µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[4\]\[6\],612.845µm
net558,610.98µm
net1057,610.295µm
pipe_act_enable,609.84µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[4\]\[8\],608.955µm
net572,608.92µm
net575,608.32µm
net521,604.27µm
net867,604.145µm
net807,603.925µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[4\]\[5\],603.35µm
_17418_,602.315µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[4\]\[7\],599.955µm
net974,599.455µm
net585,599.435µm
net565,594.735µm
net1246,593.57µm
net811,593.545µm
alu_out\[3\]\[1\],592.695µm
_17974_,589.485µm
net582,586.015µm
_18262_,585.84µm
net959,584.62µm
net584,584.27µm
net586,584.055µm
net555,583.625µm
net594,583.43µm
net1383,583.3µm
net1019,583.02µm
_16390_,582.63µm
net538,581.43µm
net952,580.99µm
net924,578.28µm
_17842_,574.77µm
net574,573.81µm
_17962_,573.72µm
pipe_systolic_idx,572.065µm
net1018,571.645µm
net655,568.63µm
_16885_,568.51µm
_16368_,566.735µm
net568,565.24µm
net576,562.63µm
net846,560.72µm
net856,556.55µm
net590,555.575µm
_17887_,555.05µm
net570,554.51µm
net986,552.73µm
_17397_,551.665µm
net530,549.02µm
net911,548.46µm
net1379,546.235µm
net528,544.44µm
_16930_,543.77µm
net1380,542.83µm
net563,541.495µm
net1370,541.055µm
net854,540.63µm
alu_out\[3\]\[2\],539.855µm
net1404,539.225µm
net905,537.41µm
_17421_,537.34µm
net656,536.53µm
net1422,531.6µm
net535,531.49µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[14\],528.79µm
_16427_,528.39µm
net898,526.37µm
net885,524.89µm
net569,524.19µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[13\],522.48µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[4\]\[9\],519.695µm
_16922_,519.14µm
net880,516.05µm
net876,515.62µm
net1012,515.38µm
net524,513.89µm
_17409_,513.85µm
net1053,512.5µm
net531,510.19µm
net579,509.9µm
net960,509.07µm
_15883_,508.62µm
_17769_,508.52µm
net553,508.08µm
net851,507.97µm
net595,507.155µm
net593,507.075µm
net1389,506.36µm
net624,506.02µm
net536,505.945µm
net1051,505.4µm
net897,504.1µm
net588,501.65µm
net967,500.6µm
net564,499.965µm
_16906_,496.58µm
net958,496.01µm
_16411_,495.82µm
net534,495.17µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[1\],494.97µm
_08865_,494.64µm
_08864_,493.345µm
net583,493.22µm
net545,493.05µm
_17394_,492.96µm
net1032,492.33µm
net533,491.95µm
net543,491.81µm
net540,491.485µm
net512,490.77µm
net556,490.4µm
net1048,489.65µm
net992,488.3µm
net571,488.24µm
_15867_,488.08µm
_15891_,485.51µm
net1071,484.61µm
net532,482.83µm
net1039,480.98µm
net601,480.62µm
net599,480.235µm
