Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_2057,VGND,li1,952.2000,484.1600,0.000122
FILLER_174_2025,VGND,li1,937.4800,484.1600,0.000149
FILLER_174_2015,VGND,li1,932.6500,484.1600,0.000168
FILLER_174_1978,VGND,li1,915.6300,484.1600,0.000215
FILLER_174_1969,VGND,li1,911.4900,484.1600,0.000222
FILLER_174_1958,VGND,li1,906.6600,484.1600,0.000236
FILLER_174_1945,VGND,li1,900.6800,484.1600,0.000245
FILLER_174_1913,VGND,li1,885.9600,484.1600,0.000268
FILLER_174_1901,VGND,li1,880.6700,484.1600,0.000275
FILLER_174_1866,VGND,li1,864.3400,484.1600,0.000282
FILLER_174_1845,VGND,li1,854.9100,484.1600,0.000278
FILLER_174_1825,VGND,li1,845.7100,484.1600,0.000271
FILLER_174_1818,VGND,li1,842.2600,484.1600,0.000267
FILLER_174_1773,VGND,li1,821.7900,484.1600,0.000243
FILLER_174_1762,VGND,li1,816.5000,484.1600,0.000235
FILLER_174_1744,VGND,li1,807.9900,484.1600,0.000223
FILLER_174_1730,VGND,li1,801.7800,484.1600,0.000199
FILLER_174_1709,VGND,li1,791.8900,484.1600,0.000183
FILLER_174_1706,VGND,li1,790.7400,484.1600,0.000192
FILLER_174_1677,VGND,li1,777.6300,484.1600,0.000234
FILLER_174_1614,VGND,li1,748.1900,484.1600,0.000288
FILLER_174_1597,VGND,li1,740.8300,484.1600,0.000296
FILLER_174_1595,VGND,li1,739.4500,484.1600,0.000296
FILLER_174_1577,VGND,li1,731.4000,484.1600,0.000302
FILLER_174_1565,VGND,li1,726.1100,484.1600,0.000304
FILLER_174_1538,VGND,li1,713.4600,484.1600,0.000309
FILLER_174_1493,VGND,li1,692.7600,484.1600,0.000285
FILLER_174_1465,VGND,li1,679.8800,484.1600,0.000256
FILLER_174_1454,VGND,li1,674.8200,484.1600,0.000248
FILLER_174_1444,VGND,li1,670.2200,484.1600,0.000236
FILLER_174_1429,VGND,li1,663.0900,484.1600,0.000217
FILLER_174_1426,VGND,li1,661.9400,484.1600,0.000211
FILLER_174_1397,VGND,li1,648.8300,484.1600,0.000177
FILLER_174_1373,VGND,li1,637.7900,484.1600,0.000156
FILLER_174_1359,VGND,li1,631.3500,484.1600,0.000170
FILLER_174_1351,VGND,li1,627.4400,484.1600,0.000177
FILLER_174_1343,VGND,li1,623.5300,484.1600,0.000187
FILLER_174_1326,VGND,li1,615.9400,484.1600,0.000199
FILLER_174_1323,VGND,li1,614.7900,484.1600,0.000199
FILLER_174_1320,VGND,li1,613.4100,484.1600,0.000204
FILLER_174_1317,VGND,li1,612.0300,484.1600,0.000204
FILLER_174_1315,VGND,li1,610.6500,484.1600,0.000207
FILLER_174_1270,VGND,li1,589.9500,484.1600,0.000232
FILLER_174_1241,VGND,li1,577.0700,484.1600,0.000242
FILLER_174_1205,VGND,li1,560.2800,484.1600,0.000249
FILLER_174_1202,VGND,li1,558.9000,484.1600,0.000250
FILLER_174_1192,VGND,li1,554.0700,484.1600,0.000250
FILLER_174_1189,VGND,li1,553.1500,484.1600,0.000250
FILLER_174_1173,VGND,li1,545.7900,484.1600,0.000250
FILLER_174_1165,VGND,li1,542.1100,484.1600,0.000249
FILLER_174_1154,VGND,li1,536.8200,484.1600,0.000248
FILLER_174_1121,VGND,li1,521.4100,484.1600,0.000227
FILLER_174_1119,VGND,li1,520.4900,484.1600,0.000224
FILLER_174_1109,VGND,li1,515.8900,484.1600,0.000218
FILLER_174_1106,VGND,li1,514.9700,484.1600,0.000213
FILLER_174_1087,VGND,li1,505.7700,484.1600,0.000195
FILLER_174_1069,VGND,li1,497.4900,484.1600,0.000177
FILLER_174_1057,VGND,li1,491.9700,484.1600,0.000164
FILLER_174_1037,VGND,li1,483.2300,484.1600,0.000163
FILLER_174_1034,VGND,li1,481.6200,484.1600,0.000163
FILLER_174_1031,VGND,li1,480.4700,484.1600,0.000173
FILLER_174_1018,VGND,li1,474.0300,484.1600,0.000196
FILLER_174_1009,VGND,li1,470.3500,484.1600,0.000203
FILLER_174_1007,VGND,li1,468.9700,484.1600,0.000211
FILLER_174_1000,VGND,li1,465.9800,484.1600,0.000219
FILLER_174_997,VGND,li1,464.8300,484.1600,0.000226
FILLER_174_994,VGND,li1,463.4500,484.1600,0.000232
FILLER_174_991,VGND,li1,462.0700,484.1600,0.000232
FILLER_174_984,VGND,li1,458.6200,484.1600,0.000244
FILLER_174_981,VGND,li1,457.4700,484.1600,0.000253
FILLER_174_979,VGND,li1,456.0900,484.1600,0.000253
FILLER_174_972,VGND,li1,453.3300,484.1600,0.000259
FILLER_174_959,VGND,li1,446.8900,484.1600,0.000275
FILLER_174_956,VGND,li1,445.9700,484.1600,0.000275
FILLER_174_953,VGND,li1,444.5900,484.1600,0.000279
FILLER_174_950,VGND,li1,442.9800,484.1600,0.000283
FILLER_174_947,VGND,li1,441.8300,484.1600,0.000283
FILLER_174_942,VGND,li1,439.0700,484.1600,0.000288
FILLER_174_915,VGND,li1,427.1100,484.1600,0.000307
FILLER_174_902,VGND,li1,420.6700,484.1600,0.000312
FILLER_174_897,VGND,li1,418.3700,484.1600,0.000315
FILLER_174_889,VGND,li1,415.1500,484.1600,0.000319
FILLER_174_841,VGND,li1,392.6100,484.1600,0.000305
FILLER_174_813,VGND,li1,380.1900,484.1600,0.000289
FILLER_174_802,VGND,li1,374.9000,484.1600,0.000277
FILLER_174_779,VGND,li1,364.0900,484.1600,0.000253
FILLER_174_757,VGND,li1,353.9700,484.1600,0.000226
FILLER_174_729,VGND,li1,341.5500,484.1600,0.000194
FILLER_174_719,VGND,li1,336.4900,484.1600,0.000174
FILLER_174_690,VGND,li1,323.3800,484.1600,0.000182
FILLER_174_664,VGND,li1,311.4200,484.1600,0.000209
FILLER_174_661,VGND,li1,310.2700,484.1600,0.000209
FILLER_174_658,VGND,li1,308.8900,484.1600,0.000215
FILLER_174_645,VGND,li1,302.4500,484.1600,0.000224
FILLER_174_643,VGND,li1,301.5300,484.1600,0.000228
FILLER_174_621,VGND,li1,291.6400,484.1600,0.000242
FILLER_174_610,VGND,li1,286.5800,484.1600,0.000249
FILLER_174_607,VGND,li1,285.4300,484.1600,0.000253
FILLER_174_604,VGND,li1,284.0500,484.1600,0.000253
FILLER_174_598,VGND,li1,280.8300,484.1600,0.000257
FILLER_174_595,VGND,li1,279.9100,484.1600,0.000259
FILLER_174_592,VGND,li1,278.5300,484.1600,0.000259
FILLER_174_589,VGND,li1,277.1500,484.1600,0.000261
FILLER_174_585,VGND,li1,275.3100,484.1600,0.000264
FILLER_174_574,VGND,li1,270.2500,484.1600,0.000268
FILLER_174_571,VGND,li1,268.8700,484.1600,0.000268
FILLER_174_568,VGND,li1,267.4900,484.1600,0.000269
FILLER_174_565,VGND,li1,266.1100,484.1600,0.000271
FILLER_174_561,VGND,li1,263.8100,484.1600,0.000272
FILLER_174_558,VGND,li1,262.6600,484.1600,0.000272
FILLER_174_548,VGND,li1,258.2900,484.1600,0.000274
FILLER_174_545,VGND,li1,256.9100,484.1600,0.000275
FILLER_174_542,VGND,li1,255.5300,484.1600,0.000276
FILLER_174_539,VGND,li1,254.1500,484.1600,0.000276
FILLER_174_536,VGND,li1,252.7700,484.1600,0.000277
FILLER_174_533,VGND,li1,251.3900,484.1600,0.000277
FILLER_174_530,VGND,li1,249.7800,484.1600,0.000278
FILLER_174_527,VGND,li1,248.6300,484.1600,0.000278
FILLER_174_524,VGND,li1,247.2500,484.1600,0.000278
FILLER_174_521,VGND,li1,245.8700,484.1600,0.000279
FILLER_174_499,VGND,li1,235.2900,484.1600,0.000279
FILLER_174_489,VGND,li1,230.9200,484.1600,0.000277
FILLER_174_465,VGND,li1,219.8800,484.1600,0.000268
FILLER_174_430,VGND,li1,203.5500,484.1600,0.000221
FILLER_174_410,VGND,li1,194.5800,484.1600,0.000192
FILLER_174_374,VGND,li1,178.0200,484.1600,0.000146
FILLER_174_350,VGND,li1,166.7500,484.1600,0.000167
FILLER_174_347,VGND,li1,165.8300,484.1600,0.000167
FILLER_174_344,VGND,li1,164.4500,484.1600,0.000171
FILLER_174_341,VGND,li1,163.0700,484.1600,0.000174
FILLER_174_335,VGND,li1,159.8500,484.1600,0.000177
FILLER_174_322,VGND,li1,154.1000,484.1600,0.000185
FILLER_174_319,VGND,li1,152.9500,484.1600,0.000185
FILLER_174_316,VGND,li1,151.5700,484.1600,0.000186
FILLER_174_313,VGND,li1,150.1900,484.1600,0.000188
FILLER_174_297,VGND,li1,142.8300,484.1600,0.000190
FILLER_174_294,VGND,li1,141.4500,484.1600,0.000191
FILLER_174_291,VGND,li1,140.0700,484.1600,0.000192
FILLER_174_288,VGND,li1,138.6900,484.1600,0.000192
FILLER_174_281,VGND,li1,135.0100,484.1600,0.000193
FILLER_174_277,VGND,li1,133.6300,484.1600,0.000193
FILLER_174_274,VGND,li1,132.2500,484.1600,0.000193
FILLER_174_271,VGND,li1,130.8700,484.1600,0.000194
FILLER_174_268,VGND,li1,129.4900,484.1600,0.000194
FILLER_174_265,VGND,li1,128.1100,484.1600,0.000194
FILLER_174_262,VGND,li1,126.7300,484.1600,0.000194
FILLER_174_256,VGND,li1,123.5100,484.1600,0.000193
FILLER_174_253,VGND,li1,122.5900,484.1600,0.000192
FILLER_174_249,VGND,li1,120.7500,484.1600,0.000191
FILLER_174_246,VGND,li1,119.3700,484.1600,0.000191
FILLER_174_243,VGND,li1,117.9900,484.1600,0.000189
FILLER_174_240,VGND,li1,116.6100,484.1600,0.000189
FILLER_174_237,VGND,li1,115.2300,484.1600,0.000187
FILLER_174_234,VGND,li1,113.8500,484.1600,0.000187
FILLER_174_231,VGND,li1,112.4700,484.1600,0.000185
FILLER_174_228,VGND,li1,111.0900,484.1600,0.000185
FILLER_174_225,VGND,li1,109.7100,484.1600,0.000184
FILLER_174_222,VGND,li1,108.1000,484.1600,0.000183
FILLER_174_219,VGND,li1,106.9500,484.1600,0.000183
FILLER_174_213,VGND,li1,103.9600,484.1600,0.000179
FILLER_174_206,VGND,li1,100.7400,484.1600,0.000177
FILLER_174_203,VGND,li1,99.5900,484.1600,0.000177
FILLER_174_197,VGND,li1,96.6000,484.1600,0.000174
FILLER_174_191,VGND,li1,93.6100,484.1600,0.000169
FILLER_174_173,VGND,li1,85.3300,484.1600,0.000160
FILLER_174_156,VGND,li1,77.7400,484.1600,0.000147
FILLER_174_153,VGND,li1,76.5900,484.1600,0.000147
FILLER_174_150,VGND,li1,75.2100,484.1600,0.000145
FILLER_174_147,VGND,li1,73.8300,484.1600,0.000141
FILLER_174_144,VGND,li1,72.4500,484.1600,0.000141
FILLER_174_141,VGND,li1,71.0700,484.1600,0.000138
FILLER_174_122,VGND,li1,62.1000,484.1600,0.000124
FILLER_174_119,VGND,li1,60.9500,484.1600,0.000124
FILLER_174_116,VGND,li1,59.5700,484.1600,0.000119
FILLER_174_113,VGND,li1,58.1900,484.1600,0.000119
FILLER_174_109,VGND,li1,56.3500,484.1600,0.000116
FILLER_174_106,VGND,li1,54.9700,484.1600,0.000111
FILLER_174_103,VGND,li1,53.5900,484.1600,0.000111
FILLER_174_100,VGND,li1,52.2100,484.1600,0.000106
FILLER_174_97,VGND,li1,50.8300,484.1600,0.000106
FILLER_174_94,VGND,li1,49.4500,484.1600,0.000102
FILLER_174_91,VGND,li1,48.0700,484.1600,0.000099
FILLER_174_88,VGND,li1,46.6900,484.1600,0.000099
FILLER_174_85,VGND,li1,45.3100,484.1600,0.000094
FILLER_174_53,VGND,li1,30.5900,484.1600,0.000064
FILLER_174_50,VGND,li1,29.2100,484.1600,0.000060
