Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_2057,VPWR,li1,952.2000,486.8800,1.599950
FILLER_174_2025,VPWR,li1,937.4800,486.8800,1.599942
FILLER_174_2015,VPWR,li1,932.6500,486.8800,1.599932
FILLER_174_1978,VPWR,li1,915.6300,486.8800,1.599904
FILLER_174_1969,VPWR,li1,911.4900,486.8800,1.599898
FILLER_174_1958,VPWR,li1,906.6600,486.8800,1.599891
FILLER_174_1945,VPWR,li1,900.6800,486.8800,1.599883
FILLER_174_1913,VPWR,li1,885.9600,486.8800,1.599868
FILLER_174_1901,VPWR,li1,880.6700,486.8800,1.599859
FILLER_174_1866,VPWR,li1,864.3400,486.8800,1.599854
FILLER_174_1845,VPWR,li1,854.9100,486.8800,1.599856
FILLER_174_1825,VPWR,li1,845.7100,486.8800,1.599860
FILLER_174_1818,VPWR,li1,842.2600,486.8800,1.599863
FILLER_174_1773,VPWR,li1,821.7900,486.8800,1.599879
FILLER_174_1762,VPWR,li1,816.5000,486.8800,1.599882
FILLER_174_1744,VPWR,li1,807.9900,486.8800,1.599891
FILLER_174_1730,VPWR,li1,801.7800,486.8800,1.599898
FILLER_174_1709,VPWR,li1,791.8900,486.8800,1.599912
FILLER_174_1706,VPWR,li1,790.7400,486.8800,1.599915
FILLER_174_1677,VPWR,li1,777.6300,486.8800,1.599891
FILLER_174_1614,VPWR,li1,748.1900,486.8800,1.599860
FILLER_174_1597,VPWR,li1,740.8300,486.8800,1.599855
FILLER_174_1595,VPWR,li1,739.4500,486.8800,1.599853
FILLER_174_1577,VPWR,li1,731.4000,486.8800,1.599848
FILLER_174_1565,VPWR,li1,726.1100,486.8800,1.599846
FILLER_174_1538,VPWR,li1,713.4600,486.8800,1.599838
FILLER_174_1493,VPWR,li1,692.7600,486.8800,1.599849
FILLER_174_1465,VPWR,li1,679.8800,486.8800,1.599866
FILLER_174_1454,VPWR,li1,674.8200,486.8800,1.599871
FILLER_174_1444,VPWR,li1,670.2200,486.8800,1.599878
FILLER_174_1429,VPWR,li1,663.0900,486.8800,1.599891
FILLER_174_1426,VPWR,li1,661.9400,486.8800,1.599891
FILLER_174_1397,VPWR,li1,648.8300,486.8800,1.599915
FILLER_174_1373,VPWR,li1,637.7900,486.8800,1.599935
FILLER_174_1359,VPWR,li1,631.3500,486.8800,1.599930
FILLER_174_1351,VPWR,li1,627.4400,486.8800,1.599927
FILLER_174_1343,VPWR,li1,623.5300,486.8800,1.599922
FILLER_174_1326,VPWR,li1,615.9400,486.8800,1.599917
FILLER_174_1323,VPWR,li1,614.7900,486.8800,1.599917
FILLER_174_1320,VPWR,li1,613.4100,486.8800,1.599915
FILLER_174_1317,VPWR,li1,612.0300,486.8800,1.599915
FILLER_174_1315,VPWR,li1,610.6500,486.8800,1.599913
FILLER_174_1270,VPWR,li1,589.9500,486.8800,1.599902
FILLER_174_1241,VPWR,li1,577.0700,486.8800,1.599899
FILLER_174_1205,VPWR,li1,560.2800,486.8800,1.599900
FILLER_174_1202,VPWR,li1,558.9000,486.8800,1.599901
FILLER_174_1192,VPWR,li1,554.0700,486.8800,1.599902
FILLER_174_1189,VPWR,li1,553.1500,486.8800,1.599903
FILLER_174_1173,VPWR,li1,545.7900,486.8800,1.599905
FILLER_174_1165,VPWR,li1,542.1100,486.8800,1.599906
FILLER_174_1154,VPWR,li1,536.8200,486.8800,1.599908
FILLER_174_1121,VPWR,li1,521.4100,486.8800,1.599915
FILLER_174_1119,VPWR,li1,520.4900,486.8800,1.599916
FILLER_174_1109,VPWR,li1,515.8900,486.8800,1.599918
FILLER_174_1106,VPWR,li1,514.9700,486.8800,1.599920
FILLER_174_1087,VPWR,li1,505.7700,486.8800,1.599925
FILLER_174_1069,VPWR,li1,497.4900,486.8800,1.599931
FILLER_174_1057,VPWR,li1,491.9700,486.8800,1.599935
FILLER_174_1037,VPWR,li1,483.2300,486.8800,1.599943
FILLER_174_1034,VPWR,li1,481.6200,486.8800,1.599943
FILLER_174_1031,VPWR,li1,480.4700,486.8800,1.599938
FILLER_174_1018,VPWR,li1,474.0300,486.8800,1.599928
FILLER_174_1009,VPWR,li1,470.3500,486.8800,1.599923
FILLER_174_1007,VPWR,li1,468.9700,486.8800,1.599920
FILLER_174_1000,VPWR,li1,465.9800,486.8800,1.599915
FILLER_174_997,VPWR,li1,464.8300,486.8800,1.599915
FILLER_174_994,VPWR,li1,463.4500,486.8800,1.599911
FILLER_174_991,VPWR,li1,462.0700,486.8800,1.599911
FILLER_174_984,VPWR,li1,458.6200,486.8800,1.599905
FILLER_174_981,VPWR,li1,457.4700,486.8800,1.599901
FILLER_174_979,VPWR,li1,456.0900,486.8800,1.599901
FILLER_174_972,VPWR,li1,453.3300,486.8800,1.599897
FILLER_174_959,VPWR,li1,446.8900,486.8800,1.599885
FILLER_174_956,VPWR,li1,445.9700,486.8800,1.599885
FILLER_174_953,VPWR,li1,444.5900,486.8800,1.599882
FILLER_174_950,VPWR,li1,442.9800,486.8800,1.599879
FILLER_174_947,VPWR,li1,441.8300,486.8800,1.599879
FILLER_174_942,VPWR,li1,439.0700,486.8800,1.599875
FILLER_174_915,VPWR,li1,427.1100,486.8800,1.599856
FILLER_174_902,VPWR,li1,420.6700,486.8800,1.599850
FILLER_174_897,VPWR,li1,418.3700,486.8800,1.599847
FILLER_174_889,VPWR,li1,415.1500,486.8800,1.599844
FILLER_174_841,VPWR,li1,392.6100,486.8800,1.599847
FILLER_174_813,VPWR,li1,380.1900,486.8800,1.599856
FILLER_174_802,VPWR,li1,374.9000,486.8800,1.599861
FILLER_174_779,VPWR,li1,364.0900,486.8800,1.599875
FILLER_174_757,VPWR,li1,353.9700,486.8800,1.599891
FILLER_174_729,VPWR,li1,341.5500,486.8800,1.599908
FILLER_174_719,VPWR,li1,336.4900,486.8800,1.599919
FILLER_174_690,VPWR,li1,323.3800,486.8800,1.599922
FILLER_174_664,VPWR,li1,311.4200,486.8800,1.599909
FILLER_174_661,VPWR,li1,310.2700,486.8800,1.599909
FILLER_174_658,VPWR,li1,308.8900,486.8800,1.599906
FILLER_174_645,VPWR,li1,302.4500,486.8800,1.599902
FILLER_174_643,VPWR,li1,301.5300,486.8800,1.599900
FILLER_174_621,VPWR,li1,291.6400,486.8800,1.599893
FILLER_174_610,VPWR,li1,286.5800,486.8800,1.599890
FILLER_174_607,VPWR,li1,285.4300,486.8800,1.599889
FILLER_174_604,VPWR,li1,284.0500,486.8800,1.599889
FILLER_174_598,VPWR,li1,280.8300,486.8800,1.599887
FILLER_174_595,VPWR,li1,279.9100,486.8800,1.599886
FILLER_174_592,VPWR,li1,278.5300,486.8800,1.599886
FILLER_174_589,VPWR,li1,277.1500,486.8800,1.599884
FILLER_174_585,VPWR,li1,275.3100,486.8800,1.599883
FILLER_174_574,VPWR,li1,270.2500,486.8800,1.599881
FILLER_174_571,VPWR,li1,268.8700,486.8800,1.599880
FILLER_174_568,VPWR,li1,267.4900,486.8800,1.599880
FILLER_174_565,VPWR,li1,266.1100,486.8800,1.599879
FILLER_174_561,VPWR,li1,263.8100,486.8800,1.599878
FILLER_174_558,VPWR,li1,262.6600,486.8800,1.599878
FILLER_174_548,VPWR,li1,258.2900,486.8800,1.599877
FILLER_174_545,VPWR,li1,256.9100,486.8800,1.599876
FILLER_174_542,VPWR,li1,255.5300,486.8800,1.599876
FILLER_174_539,VPWR,li1,254.1500,486.8800,1.599876
FILLER_174_536,VPWR,li1,252.7700,486.8800,1.599876
