net,length_um
clknet_0_clk,915.99µm
ce_row\[0\],616.52µm
net1639,494.15µm
g_row\[0\].g_col\[0\].pe/net994,433.87µm
clk,399.29µm
net2534,373.96µm
net1494,371.08µm
b_inputs_flat[9],350.12µm
g_row\[0\].g_col\[0\].pe/net1215,322.91µm
net1530,321.08µm
g_row\[0\].g_col\[0\].pe/net1178,309.745µm
net1214,298.43µm
net1283,297.62µm
b_inputs_flat[0],293.4µm
net2564,291.91µm
ca_row\[0\],288.55µm
net3406,288.11µm
net3202,283.82µm
b_reg\[23\],280.72µm
net1326,274.98µm
net2533,269.52µm
clknet_4_5_0_clk,267.79µm
en_row\[0\],266.92µm
net1613,262.07µm
net3404,261.94µm
a_wire\[3\]\[13\],261.35µm
net1233,261.11µm
net1271,258.76µm
lw_row\[0\],258.53µm
g_row\[0\].g_col\[1\].pe/net2114,258.13µm
net1585,257.14µm
net2443,256.38µm
a_wire\[3\]\[14\],254.795µm
net3313,253.14µm
net1928,250.69µm
b_reg\[29\],249.68µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[2\],237.24µm
clknet_4_0_0_clk,236.67µm
a_wire\[3\]\[1\],236.61µm
b_inputs_flat[14],233.32µm
net1506,228.82µm
net3200,227.86µm
net1262,225.91µm
g_row\[0\].g_col\[1\].pe/net1142,224.62µm
clknet_4_15_0_clk,224.61µm
a_wire\[1\]\[4\],221.245µm
g_row\[0\].g_col\[1\].pe/_1060_,219.24µm
net1330,217.77µm
g_row\[0\].g_col\[1\].pe/_0840_,217.725µm
net1249,215.17µm
g_row\[0\].g_col\[0\].pe/_0611_,214.765µm
net3150,212.74µm
a_wire\[3\]\[12\],211.6µm
g_row\[0\].g_col\[1\].pe/_0629_,211.18µm
a_wire\[1\]\[0\],210.505µm
net1515,206.56µm
net1476,203.66µm
net1220,203.31µm
g_row\[0\].g_col\[0\].pe/_0341_,202.7µm
net1455,202.35µm
g_row\[0\].g_col\[0\].pe/net1718,202.1µm
g_row\[0\].g_col\[1\].pe/net1140,200.01µm
g_row\[0\].g_col\[1\].pe/net2966,199.5µm
g_row\[1\].g_col\[1\].pe/net900,198.9µm
g_row\[0\].g_col\[0\].pe/_0618_,197.8µm
g_row\[0\].g_col\[0\].pe/net1229,195.61µm
net1310,195.56µm
net1281,195.3µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[4\],194.44µm
net2762,194µm
net3157,193.55µm
net2563,193.04µm
g_row\[0\].g_col\[0\].pe/net1253,192.98µm
a_wire\[4\]\[14\],191.26µm
g_row\[1\].g_col\[1\].pe/net1005,191.24µm
net2485,191.05µm
net1500,190.64µm
net3203,189.25µm
net2432,189µm
net2540,187.63µm
g_row\[1\].g_col\[0\].pe/r2_mantissa\[13\],187.49µm
net3314,187.02µm
net1268,186.15µm
a_wire\[4\]\[2\],185.51µm
net2499,184.21µm
a_wire\[3\]\[9\],183.29µm
net2693,182.93µm
net3405,182.92µm
a_wire\[4\]\[5\],182.26µm
net1468,181.34µm
g_row\[1\].g_col\[1\].pe/net1031,180.8µm
net3167,180.6µm
net3384,180.04µm
b_reg\[17\],179.45µm
clknet_4_9_0_clk,179.24µm
net3536,179.2µm
net3189,179.02µm
net2407,178.99µm
net2569,178.8µm
a_wire\[1\]\[3\],178.665µm
net2625,178.16µm
results_flat[56],177.75µm
net3324,177.65µm
net1100,177.62µm
g_row\[0\].g_col\[1\].pe/net1170,177.54µm
net3285,176.85µm
net1319,175.54µm
net1554,175.5µm
net3208,175.02µm
net1634,174.82µm
a_wire\[0\]\[13\],174.225µm
net3500,174.06µm
g_row\[0\].g_col\[0\].pe/r3_prod_sign,173.925µm
g_row\[0\].g_col\[1\].pe/net2132,172.33µm
g_row\[1\].g_col\[0\].pe/net1062,171.925µm
net3251,171.68µm
clknet_4_12_0_clk,170.48µm
g_row\[0\].g_col\[0\].pe/_0000_,169.82µm
b_reg\[0\],169.38µm
net1765,167.89µm
g_row\[0\].g_col\[1\].pe/net1144,167.62µm
net3216,167.4µm
g_row\[0\].g_col\[0\].pe/r2_mantissa\[5\],167.29µm
a_wire\[1\]\[11\],167.24µm
g_row\[1\].g_col\[0\].pe/_0559_,166.74µm
