Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_841,VGND,li1,392.6100,266.5600,0.000033
FILLER_93_838,VGND,li1,391.4600,266.5600,0.000033
FILLER_93_810,VGND,li1,378.5800,266.5600,0.000033
FILLER_93_770,VGND,li1,360.1800,266.5600,0.000030
FILLER_93_767,VGND,li1,359.0300,266.5600,0.000030
FILLER_93_760,VGND,li1,355.8100,266.5600,0.000029
FILLER_93_757,VGND,li1,354.4300,266.5600,0.000029
FILLER_93_741,VGND,li1,346.8400,266.5600,0.000028
FILLER_93_738,VGND,li1,345.6900,266.5600,0.000028
FILLER_93_735,VGND,li1,344.3100,266.5600,0.000028
FILLER_93_732,VGND,li1,342.9300,266.5600,0.000028
FILLER_93_729,VGND,li1,341.5500,266.5600,0.000027
FILLER_93_726,VGND,li1,339.9400,266.5600,0.000027
FILLER_93_710,VGND,li1,332.8100,266.5600,0.000026
FILLER_93_698,VGND,li1,327.0600,266.5600,0.000032
FILLER_93_682,VGND,li1,319.9300,266.5600,0.000038
FILLER_93_666,VGND,li1,312.3400,266.5600,0.000043
FILLER_93_657,VGND,li1,308.4300,266.5600,0.000045
FILLER_93_651,VGND,li1,305.2100,266.5600,0.000047
FILLER_93_645,VGND,li1,302.6800,266.5600,0.000047
FILLER_93_621,VGND,li1,291.6400,266.5600,0.000050
FILLER_93_605,VGND,li1,284.5100,266.5600,0.000052
FILLER_93_589,VGND,li1,276.9200,266.5600,0.000053
FILLER_93_576,VGND,li1,270.9400,266.5600,0.000054
FILLER_93_545,VGND,li1,256.6800,266.5600,0.000057
FILLER_93_529,VGND,li1,249.5500,266.5600,0.000058
FILLER_93_513,VGND,li1,241.7300,266.5600,0.000059
FILLER_93_477,VGND,li1,225.4000,266.5600,0.000060
FILLER_93_463,VGND,li1,218.7300,266.5600,0.000060
FILLER_93_453,VGND,li1,214.3600,266.5600,0.000060
FILLER_93_413,VGND,li1,196.1900,266.5600,0.000060
FILLER_93_393,VGND,li1,186.9900,266.5600,0.000060
FILLER_93_389,VGND,li1,185.1500,266.5600,0.000060
FILLER_93_369,VGND,li1,175.4900,266.5600,0.000068
FILLER_93_363,VGND,li1,172.7300,266.5600,0.000075
FILLER_93_330,VGND,li1,157.7800,266.5600,0.000108
FILLER_93_318,VGND,li1,152.0300,266.5600,0.000119
FILLER_93_281,VGND,li1,135.0100,266.5600,0.000149
FILLER_93_268,VGND,li1,129.0300,266.5600,0.000158
FILLER_93_247,VGND,li1,119.3700,266.5600,0.000168
FILLER_93_197,VGND,li1,96.6000,266.5600,0.000173
FILLER_93_176,VGND,li1,86.9400,266.5600,0.000171
FILLER_93_166,VGND,li1,82.3400,266.5600,0.000169
FILLER_93_126,VGND,li1,63.7100,266.5600,0.000157
FILLER_93_113,VGND,li1,57.9600,266.5600,0.000148
FILLER_93_93,VGND,li1,48.5300,266.5600,0.000126
FILLER_93_57,VGND,li1,32.2000,266.5600,0.000087
FILLER_93_51,VGND,li1,29.2100,266.5600,0.000081
FILLER_93_36,VGND,li1,22.5400,266.5600,0.000072
FILLER_93_29,VGND,li1,19.3200,266.5600,0.000073
FILLER_93_3,VGND,li1,7.1300,266.5600,0.000075
FILLER_92_810,VGND,li1,378.5800,261.1200,0.000293
