Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_841,VPWR,li1,392.6100,263.8400,1.599715
FILLER_93_838,VPWR,li1,391.4600,263.8400,1.599715
FILLER_93_810,VPWR,li1,378.5800,263.8400,1.599719
FILLER_93_770,VPWR,li1,360.1800,263.8400,1.599744
FILLER_93_767,VPWR,li1,359.0300,263.8400,1.599750
FILLER_93_760,VPWR,li1,355.8100,263.8400,1.599757
FILLER_93_757,VPWR,li1,354.4300,263.8400,1.599757
FILLER_93_741,VPWR,li1,346.8400,263.8400,1.599779
FILLER_93_738,VPWR,li1,345.6900,263.8400,1.599779
FILLER_93_735,VPWR,li1,344.3100,263.8400,1.599784
FILLER_93_732,VPWR,li1,342.9300,263.8400,1.599790
FILLER_93_729,VPWR,li1,341.5500,263.8400,1.599790
FILLER_93_726,VPWR,li1,339.9400,263.8400,1.599796
FILLER_93_710,VPWR,li1,332.8100,263.8400,1.599814
FILLER_93_698,VPWR,li1,327.0600,263.8400,1.599819
FILLER_93_682,VPWR,li1,319.9300,263.8400,1.599792
FILLER_93_666,VPWR,li1,312.3400,263.8400,1.599766
FILLER_93_657,VPWR,li1,308.4300,263.8400,1.599756
FILLER_93_651,VPWR,li1,305.2100,263.8400,1.599748
FILLER_93_645,VPWR,li1,302.6800,263.8400,1.599743
FILLER_93_621,VPWR,li1,291.6400,263.8400,1.599722
FILLER_93_605,VPWR,li1,284.5100,263.8400,1.599711
FILLER_93_589,VPWR,li1,276.9200,263.8400,1.599708
FILLER_93_576,VPWR,li1,270.9400,263.8400,1.599709
FILLER_93_545,VPWR,li1,256.6800,263.8400,1.599718
FILLER_93_529,VPWR,li1,249.5500,263.8400,1.599725
FILLER_93_513,VPWR,li1,241.7300,263.8400,1.599734
FILLER_93_477,VPWR,li1,225.4000,263.8400,1.599757
FILLER_93_463,VPWR,li1,218.7300,263.8400,1.599766
FILLER_93_453,VPWR,li1,214.3600,263.8400,1.599772
FILLER_93_413,VPWR,li1,196.1900,263.8400,1.599801
FILLER_93_393,VPWR,li1,186.9900,263.8400,1.599817
FILLER_93_389,VPWR,li1,185.1500,263.8400,1.599820
FILLER_93_369,VPWR,li1,175.4900,263.8400,1.599833
FILLER_93_363,VPWR,li1,172.7300,263.8400,1.599818
FILLER_93_330,VPWR,li1,157.7800,263.8400,1.599744
FILLER_93_318,VPWR,li1,152.0300,263.8400,1.599717
FILLER_93_281,VPWR,li1,135.0100,263.8400,1.599645
FILLER_93_268,VPWR,li1,129.0300,263.8400,1.599620
FILLER_93_247,VPWR,li1,119.3700,263.8400,1.599599
FILLER_93_197,VPWR,li1,96.6000,263.8400,1.599570
FILLER_93_176,VPWR,li1,86.9400,263.8400,1.599568
FILLER_93_166,VPWR,li1,82.3400,263.8400,1.599569
FILLER_93_126,VPWR,li1,63.7100,263.8400,1.599589
FILLER_93_113,VPWR,li1,57.9600,263.8400,1.599611
FILLER_93_93,VPWR,li1,48.5300,263.8400,1.599659
FILLER_93_57,VPWR,li1,32.2000,263.8400,1.599755
FILLER_93_51,VPWR,li1,29.2100,263.8400,1.599773
FILLER_93_36,VPWR,li1,22.5400,263.8400,1.599820
FILLER_93_29,VPWR,li1,19.3200,263.8400,1.599818
FILLER_93_3,VPWR,li1,7.1300,263.8400,1.599813
FILLER_92_810,VPWR,li1,378.5800,263.8400,1.599719
FILLER_92_776,VPWR,li1,362.9400,263.8400,1.599738
FILLER_92_757,VPWR,li1,354.2000,263.8400,1.599757
FILLER_92_701,VPWR,li1,328.2100,263.8400,1.599828
FILLER_92_698,VPWR,li1,327.0600,263.8400,1.599819
FILLER_92_691,VPWR,li1,324.0700,263.8400,1.599804
