net,length_um
net84,366.71µm
clknet_0_clk,303.6µm
r2_mantissa\[13\],204.61µm
r2_mantissa\[9\],203.77µm
net285,203.3µm
net54,183.14µm
net270,177.11µm
net294,175.45µm
net281,165.57µm
net81,163.93µm
net57,163.66µm
net303,158.97µm
clk,155.53µm
clknet_4_11_0_clk,152.8µm
net51,150.1µm
net595,145.38µm
net280,142.655µm
net357,141.21µm
net278,140.16µm
net305,138.28µm
r4_acc\[15\],136.42µm
clknet_4_10_0_clk,129.08µm
b_out[12],128.93µm
net465,126.74µm
net76,126.6µm
net175,123.45µm
net213,123.115µm
net343,121.32µm
net304,120.995µm
net269,120.94µm
net230,120.17µm
net287,118.57µm
net348,118.48µm
net556,115.9µm
net267,115.445µm
net381,115.4µm
net579,114.2µm
net475,113.505µm
net347,112.06µm
net78,112.06µm
net169,110.525µm
_0635_,109.64µm
_1016_,108.44µm
b_in[13],107.64µm
net207,107.12µm
net200,106.96µm
net379,106.7µm
net212,106.205µm
net349,106.04µm
net355,105.78µm
_0648_,104.26µm
b_in[12],104.06µm
_0439_,103.94µm
net466,103.91µm
net268,103.2µm
net403,102.7µm
net643,101.4µm
net275,101.1µm
s1_sign_a,100.28µm
b_out[10],100.26µm
_0644_,100.12µm
net229,100.04µm
net219,99.06µm
net79,98.33µm
b_in[10],98.06µm
net536,97.04µm
net151,96.86µm
net262,96.745µm
r2_mantissa\[0\],96.58µm
_0592_,96.28µm
net199,94.82µm
net260,94.68µm
clknet_4_13_0_clk,94.14µm
b_in[11],94.02µm
net250,91.12µm
_0077_,91.08µm
net292,90.625µm
r2_sign,90.37µm
_0572_,89.98µm
b_in[9],89.72µm
_0638_,89.52µm
net205,89.475µm
net274,89.26µm
net239,89.135µm
_0075_,89.06µm
clknet_4_8_0_clk,88.6µm
net282,88.51µm
net480,87.88µm
net545,87.84µm
net299,87.32µm
_0527_,87.13µm
net510,86.42µm
b_out[13],86.19µm
b_out[14],86.19µm
net486,86.19µm
net380,85.88µm
net473,85.84µm
net276,85.535µm
_0958_,85.16µm
net201,84.965µm
net211,84.74µm
net286,84.28µm
clknet_4_4_0_clk,84.16µm
clknet_4_14_0_clk,84.1µm
net266,84.01µm
net288,83.86µm
net453,83.14µm
net289,82.94µm
clknet_4_9_0_clk,82.86µm
net271,82.62µm
net395,82.6µm
b_out[11],82.28µm
net77,82.18µm
net301,82.14µm
net647,82.08µm
clknet_4_15_0_clk,81.86µm
_0577_,81.5µm
net243,81.47µm
net263,81.24µm
_0438_,81.02µm
_0315_,80.68µm
net284,80.39µm
net428,80.32µm
net218,80.205µm
net209,79.94µm
net300,79.7µm
net204,79.62µm
_0432_,79.2µm
_0640_,79.145µm
net82,79.1µm
net80,78.84µm
net306,78.74µm
_0076_,78.54µm
net581,77.76µm
net277,77.12µm
_0074_,76.34µm
net382,76.16µm
net461,76.16µm
net227,75.98µm
net228,75.78µm
net265,75.48µm
net624,75.48µm
b_in[8],75.25µm
net397,74.7µm
net297,74.085µm
_0078_,73.92µm
net344,73.88µm
_0548_,73.48µm
net222,73.24µm
net240,73.03µm
b_in[14],72.89µm
net261,72.07µm
net600,71.92µm
net215,71.82µm
net224,71.8µm
_0594_,71.66µm
net474,71.4µm
net259,70.805µm
_0600_,70.74µm
net223,70.58µm
net208,70.5µm
net454,70.465µm
net241,70µm
clknet_4_12_0_clk,69.08µm
b_out[15],68.82µm
net295,68.67µm
a_out[11],68.56µm
net255,68.32µm
net487,67.945µm
net242,67.735µm
net387,67.46µm
valid_s1,67.32µm
net568,67.31µm
net425,66.79µm
net272,66.64µm
_0528_,66.54µm
_0855_,66.33µm
net451,66.225µm
net264,66.125µm
net652,65.91µm
a_in[14],65.72µm
net339,65.55µm
net682,65.48µm
net574,65.08µm
net214,64.86µm
r4_acc\[0\],64.77µm
_0610_,64.515µm
net83,64.5µm
r3_prod_sign,64.3µm
clknet_4_0_0_clk,64.18µm
net291,63.745µm
net570,63.7µm
_0003_,62.86µm
clknet_4_2_0_clk,62.52µm
net450,62.15µm
net354,62.06µm
net351,61.68µm
r4_acc\[3\],61.42µm
net648,61.3µm
_0762_,61.06µm
b_out[3],61.03µm
net394,60.86µm
net290,60.725µm
clknet_4_5_0_clk,60.59µm
net564,60.45µm
_0603_,60.36µm
net507,60.28µm
net641,60.28µm
_0654_,60.245µm
load_weight,60.13µm
r2_mantissa\[4\],59.9µm
net251,59.64µm
net458,59.34µm
net399,59.2µm
net575,58.45µm
net298,58.23µm
net431,58.14µm
a_in[11],58.12µm
a_in[8],57.98µm
net335,57.92µm
a_in[10],57.5µm
a_in[6],57.39µm
net279,57.16µm
net296,57.06µm
a_out[14],57.02µm
clknet_4_6_0_clk,57.02µm
net459,56.94µm
net235,56.74µm
net408,56.64µm
net658,56.34µm
b_in[4],55.97µm
b_out[8],55.97µm
a_in[12],55.7µm
net233,55.69µm
b_in[6],55.65µm
b_in[5],55.55µm
net383,55.54µm
net232,55.46µm
net302,55.27µm
_0000_,55.1µm
r2_mantissa\[1\],55.1µm
_0828_,55.06µm
_0221_,54.94µm
net679,54.8µm
r2_mantissa\[12\],54.795µm
_0912_,54.78µm
net392,54.54µm
net429,54.26µm
net400,54.08µm
a_in[5],53.61µm
net483,53.56µm
a_in[7],53.49µm
_1121_,53.14µm
net532,52.94µm
net328,52.74µm
net549,52.62µm
net571,52.58µm
net398,52.38µm
a_in[13],52.18µm
net656,51.72µm
_0399_,51.59µm
net293,51.33µm
net203,51.31µm
net467,50.98µm
net396,50.72µm
_0604_,50.7µm
net477,50.66µm
net607,50.5µm
net308,50µm
net625,49.7µm
net681,49.64µm
net620,49.36µm
net555,49.32µm
net238,49.28µm
r2_mantissa\[8\],49.19µm
net587,49.16µm
r2_mantissa\[11\],49.09µm
_0744_,49.07µm
b_in[15],48.89µm
net206,48.46µm
clknet_4_7_0_clk,48.44µm
net384,48.14µm
net678,48.1µm
net361,47.755µm
_0375_,47.66µm
_0073_,47.52µm
net501,47.43µm
net254,47.08µm
net653,47.04µm
a_in[9],46.78µm
b_in[7],46.55µm
b_out[7],46.55µm
r4_acc\[2\],46.34µm
r2_mantissa\[5\],46.225µm
_0031_,45.9µm
r2_mantissa\[10\],45.72µm
_0326_,45.48µm
net258,45.345µm
net550,45µm
_0928_,44.99µm
net307,44.9µm
a_in[2],44.79µm
net489,44.72µm
net273,44.68µm
net319,44.49µm
_0834_,44.12µm
net631,44.05µm
_0919_,43.95µm
a_in[3],43.83µm
net543,43.48µm
net462,43.24µm
_0425_,42.76µm
r4_acc\[10\],42.735µm
b_in[3],42.49µm
_0938_,42.24µm
a_in[4],41.69µm
net460,41.605µm
_0070_,41.51µm
a_in[15],41.28µm
net256,41.16µm
_0001_,41.06µm
net680,41.06µm
_0197_,40.98µm
net245,40.92µm
_1269_,40.78µm
net410,40.75µm
_0693_,40.695µm
net513,40.21µm
net417,40.07µm
_0833_,40.06µm
net484,39.945µm
a_in[1],39.25µm
r4_acc\[12\],39.18µm
net247,39.16µm
net577,39.12µm
net537,38.8µm
_0382_,38.7µm
_0886_,38.45µm
net234,38.31µm
r2_mantissa\[14\],38.285µm
net316,38.24µm
_0873_,38.09µm
_0423_,38.08µm
_0880_,38µm
_0419_,37.98µm
_0914_,37.74µm
b_in[2],37.73µm
r4_acc\[1\],37.7µm
net391,37.555µm
net508,37.48µm
_0088_,37.38µm
net566,37.3µm
net520,37.28µm
net524,37.2µm
b_out[4],37.15µm
net542,37µm
_0643_,36.96µm
_1234_,36.94µm
net321,36.8µm
net393,36.7µm
_0420_,36.54µm
net565,36.52µm
r2_mantissa\[2\],36.48µm
net476,36.32µm
_0899_,36.28µm
net236,36.12µm
r4_acc\[14\],36.12µm
_0853_,36.1µm
_0128_,35.98µm
net210,35.68µm
b_out[5],35.65µm
net533,35.58µm
_0629_,35.45µm
_0619_,35.36µm
net544,34.92µm
net202,34.82µm
net504,34.58µm
_0954_,34.46µm
net494,34.4µm
_0821_,34.12µm
_1153_,33.86µm
clknet_4_1_0_clk,33.82µm
_0308_,33.8µm
_0850_,33.68µm
_1151_,33.58µm
_0072_,33.54µm
r4_acc\[7\],33.5µm
_0736_,33.35µm
_1233_,33.3µm
_1000_,33.22µm
net512,33.12µm
r4_acc\[4\],33.06µm
_0589_,32.98µm
net452,32.98µm
net244,32.96µm
_0560_,32.92µm
net560,32.92µm
_1107_,32.9µm
net413,32.86µm
_1004_,32.72µm
_1150_,32.64µm
_0368_,32.54µm
_0252_,32.5µm
_0774_,32.46µm
_1245_,32.4µm
net511,32.13µm
net314,32.12µm
_0931_,32.08µm
_0605_,32.05µm
_0150_,31.98µm
_1106_,31.86µm
net632,31.68µm
_0161_,31.46µm
_0324_,31.26µm
net617,31.22µm
_0734_,31.2µm
r4_acc\[13\],31.06µm
_0884_,30.86µm
b_out[6],30.67µm
_0860_,30.64µm
_0746_,30.25µm
_0386_,29.9µm
r4_acc\[8\],29.74µm
clknet_4_3_0_clk,29.72µm
net336,29.3µm
net225,29.28µm
r2_mantissa\[6\],29.21µm
_1154_,29.18µm
_0727_,29.16µm
net342,29.12µm
r4_acc\[5\],29.1µm
net588,29.06µm
_1002_,28.92µm
net345,28.88µm
a_in[0],28.79µm
_0689_,28.74µm
net572,28.72µm
r4_acc\[6\],28.7µm
_0865_,28.68µm
_0198_,28.48µm
r4_acc\[11\],28.48µm
net426,28.36µm
_0298_,28.24µm
_1056_,28.24µm
_1074_,28.2µm
r2_mantissa\[3\],28.18µm
_0219_,28.1µm
net636,28.06µm
_0563_,27.9µm
_0063_,27.88µm
_0105_,27.79µm
_1108_,27.78µm
_0428_,27.74µm
_0142_,27.62µm
net313,27.6µm
net441,27.56µm
_0178_,27.45µm
net478,27.425µm
net597,27.365µm
_0069_,27.34µm
_0957_,27.34µm
_1270_,27.28µm
_0803_,27.26µm
_0697_,27.24µm
net418,27.24µm
_1202_,27.2µm
net538,27.18µm
_1128_,27.1µm
net389,27.1µm
b_out[2],26.99µm
_1179_,26.98µm
_0132_,26.94µm
net248,26.86µm
_1119_,26.7µm
_0094_,26.66µm
net529,26.48µm
_0194_,26.28µm
net378,26.26µm
_1254_,26.22µm
_0429_,26.2µm
r3_prod_mant\[6\],26.06µm
_0698_,25.82µm
net580,25.78µm
net388,25.64µm
net468,25.51µm
_1058_,25.5µm
net506,25.465µm
b_out[9],25.44µm
