Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_317,VGND,li1,152.0300,184.9600,0.000329
FILLER_64_306,VGND,li1,146.7400,184.9600,0.000328
FILLER_64_288,VGND,li1,138.2300,184.9600,0.000328
FILLER_64_285,VGND,li1,137.3100,184.9600,0.000328
FILLER_64_277,VGND,li1,133.6300,184.9600,0.000328
FILLER_64_274,VGND,li1,132.2500,184.9600,0.000328
FILLER_64_271,VGND,li1,130.8700,184.9600,0.000328
FILLER_64_268,VGND,li1,129.4900,184.9600,0.000328
FILLER_64_265,VGND,li1,128.1100,184.9600,0.000328
FILLER_64_262,VGND,li1,126.7300,184.9600,0.000328
FILLER_64_259,VGND,li1,125.3500,184.9600,0.000328
FILLER_64_256,VGND,li1,123.9700,184.9600,0.000328
FILLER_64_253,VGND,li1,122.5900,184.9600,0.000328
FILLER_64_249,VGND,li1,120.7500,184.9600,0.000328
FILLER_64_246,VGND,li1,119.3700,184.9600,0.000328
FILLER_64_243,VGND,li1,117.9900,184.9600,0.000328
FILLER_64_240,VGND,li1,116.6100,184.9600,0.000328
FILLER_64_237,VGND,li1,115.2300,184.9600,0.000328
FILLER_64_234,VGND,li1,113.8500,184.9600,0.000328
FILLER_64_231,VGND,li1,112.4700,184.9600,0.000328
FILLER_64_228,VGND,li1,111.0900,184.9600,0.000328
FILLER_64_225,VGND,li1,109.7100,184.9600,0.000328
FILLER_64_221,VGND,li1,107.8700,184.9600,0.000328
FILLER_64_218,VGND,li1,106.4900,184.9600,0.000328
FILLER_64_215,VGND,li1,105.1100,184.9600,0.000328
FILLER_64_206,VGND,li1,100.7400,184.9600,0.000325
FILLER_64_203,VGND,li1,99.5900,184.9600,0.000324
FILLER_64_200,VGND,li1,98.2100,184.9600,0.000324
FILLER_64_197,VGND,li1,96.8300,184.9600,0.000320
FILLER_64_194,VGND,li1,95.2200,184.9600,0.000317
FILLER_64_191,VGND,li1,94.0700,184.9600,0.000317
FILLER_64_181,VGND,li1,89.4700,184.9600,0.000308
FILLER_64_178,VGND,li1,88.0900,184.9600,0.000302
FILLER_64_175,VGND,li1,86.7100,184.9600,0.000302
FILLER_64_172,VGND,li1,85.3300,184.9600,0.000296
FILLER_64_169,VGND,li1,83.9500,184.9600,0.000296
FILLER_64_165,VGND,li1,82.1100,184.9600,0.000292
FILLER_64_162,VGND,li1,80.7300,184.9600,0.000285
FILLER_64_159,VGND,li1,79.3500,184.9600,0.000285
FILLER_64_156,VGND,li1,77.9700,184.9600,0.000277
FILLER_64_153,VGND,li1,76.5900,184.9600,0.000277
FILLER_64_150,VGND,li1,75.2100,184.9600,0.000271
FILLER_64_144,VGND,li1,71.9900,184.9600,0.000265
FILLER_64_141,VGND,li1,71.0700,184.9600,0.000260
FILLER_64_137,VGND,li1,69.2300,184.9600,0.000252
FILLER_64_134,VGND,li1,67.8500,184.9600,0.000252
FILLER_64_131,VGND,li1,66.4700,184.9600,0.000242
FILLER_64_128,VGND,li1,65.0900,184.9600,0.000242
FILLER_64_122,VGND,li1,61.8700,184.9600,0.000230
FILLER_64_119,VGND,li1,60.9500,184.9600,0.000221
FILLER_64_116,VGND,li1,59.5700,184.9600,0.000221
FILLER_64_113,VGND,li1,58.1900,184.9600,0.000212
FILLER_64_100,VGND,li1,52.2100,184.9600,0.000185
FILLER_64_97,VGND,li1,50.8300,184.9600,0.000185
FILLER_64_94,VGND,li1,49.4500,184.9600,0.000175
FILLER_64_91,VGND,li1,48.0700,184.9600,0.000166
FILLER_64_88,VGND,li1,46.6900,184.9600,0.000166
FILLER_64_85,VGND,li1,45.3100,184.9600,0.000156
FILLER_64_82,VGND,li1,43.7000,184.9600,0.000147
FILLER_64_79,VGND,li1,42.5500,184.9600,0.000147
FILLER_64_76,VGND,li1,41.1700,184.9600,0.000133
FILLER_64_73,VGND,li1,39.7900,184.9600,0.000133
FILLER_64_70,VGND,li1,38.4100,184.9600,0.000120
FILLER_64_67,VGND,li1,37.0300,184.9600,0.000120
FILLER_64_57,VGND,li1,32.4300,184.9600,0.000091
FILLER_64_53,VGND,li1,30.5900,184.9600,0.000079
FILLER_64_50,VGND,li1,29.2100,184.9600,0.000079
FILLER_64_47,VGND,li1,27.8300,184.9600,0.000067
FILLER_64_44,VGND,li1,26.4500,184.9600,0.000057
FILLER_64_41,VGND,li1,25.0700,184.9600,0.000057
FILLER_64_38,VGND,li1,23.6900,184.9600,0.000058
FILLER_64_35,VGND,li1,22.3100,184.9600,0.000059
FILLER_64_32,VGND,li1,20.9300,184.9600,0.000059
FILLER_64_29,VGND,li1,19.5500,184.9600,0.000060
FILLER_64_27,VGND,li1,18.1700,184.9600,0.000060
FILLER_64_24,VGND,li1,17.2500,184.9600,0.000060
FILLER_64_21,VGND,li1,15.8700,184.9600,0.000061
FILLER_64_18,VGND,li1,14.4900,184.9600,0.000061
FILLER_64_15,VGND,li1,13.1100,184.9600,0.000061
FILLER_64_12,VGND,li1,11.7300,184.9600,0.000061
FILLER_64_9,VGND,li1,10.3500,184.9600,0.000061
FILLER_64_6,VGND,li1,8.9700,184.9600,0.000061
FILLER_64_3,VGND,li1,7.5900,184.9600,0.000061
