Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_317,VPWR,li1,152.0300,187.6800,1.799931
FILLER_64_306,VPWR,li1,146.7400,187.6800,1.799931
FILLER_64_288,VPWR,li1,138.2300,187.6800,1.799931
FILLER_64_285,VPWR,li1,137.3100,187.6800,1.799931
FILLER_64_277,VPWR,li1,133.6300,187.6800,1.799931
FILLER_64_274,VPWR,li1,132.2500,187.6800,1.799931
FILLER_64_271,VPWR,li1,130.8700,187.6800,1.799931
FILLER_64_268,VPWR,li1,129.4900,187.6800,1.799931
FILLER_64_265,VPWR,li1,128.1100,187.6800,1.799931
FILLER_64_262,VPWR,li1,126.7300,187.6800,1.799931
FILLER_64_259,VPWR,li1,125.3500,187.6800,1.799931
FILLER_64_256,VPWR,li1,123.9700,187.6800,1.799931
FILLER_64_253,VPWR,li1,122.5900,187.6800,1.799931
FILLER_64_249,VPWR,li1,120.7500,187.6800,1.799932
FILLER_64_246,VPWR,li1,119.3700,187.6800,1.799932
FILLER_64_243,VPWR,li1,117.9900,187.6800,1.799932
FILLER_64_240,VPWR,li1,116.6100,187.6800,1.799932
FILLER_64_237,VPWR,li1,115.2300,187.6800,1.799932
FILLER_64_234,VPWR,li1,113.8500,187.6800,1.799932
FILLER_64_231,VPWR,li1,112.4700,187.6800,1.799932
FILLER_64_228,VPWR,li1,111.0900,187.6800,1.799932
FILLER_64_225,VPWR,li1,109.7100,187.6800,1.799932
FILLER_64_221,VPWR,li1,107.8700,187.6800,1.799932
FILLER_64_218,VPWR,li1,106.4900,187.6800,1.799932
FILLER_64_215,VPWR,li1,105.1100,187.6800,1.799932
FILLER_64_206,VPWR,li1,100.7400,187.6800,1.799932
FILLER_64_203,VPWR,li1,99.5900,187.6800,1.799933
FILLER_64_200,VPWR,li1,98.2100,187.6800,1.799933
FILLER_64_197,VPWR,li1,96.8300,187.6800,1.799933
FILLER_64_194,VPWR,li1,95.2200,187.6800,1.799934
FILLER_64_191,VPWR,li1,94.0700,187.6800,1.799934
FILLER_64_181,VPWR,li1,89.4700,187.6800,1.799935
FILLER_64_178,VPWR,li1,88.0900,187.6800,1.799936
FILLER_64_175,VPWR,li1,86.7100,187.6800,1.799936
FILLER_64_172,VPWR,li1,85.3300,187.6800,1.799937
FILLER_64_169,VPWR,li1,83.9500,187.6800,1.799937
